numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07872;20220201071000;1355.000000;mq;mq;265.950000;261.760000;72;mq;mq;mq;mq;mq;mq;/;/;/;mq;263.150000;mq;266.750000;mq;0.400000;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20220201060000;790.000000;0;0.000000;271.650000;mq;mq;0;7;0;8;8;800;6;/;/;3.500000;269.650000;mq;277.150000;mq;0.090000;0.030000;-99;768.000000;3103.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20220201070000;1025.000000;0;0.000000;mq;mq;mq;0;7;0;7;1;450;6;3;/;mq;mq;mq;mq;mq;0.390000;0.030000;-99;768.000000;3103.000000;mq;mq;mq;mq;0;5;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;20220201073000;1327.000000;360;2.000000;271.650000;mq;mq;45;7;4;9;9;mq;/;/;/;mq;mq;mq;mq;mq;0.010000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07815;20220201070000;2356.000000;360;14.000000;264.150000;mq;mq;0;3;7;0;0;mq;0;0;0;2.600000;mq;263.650000;mq;268.150000;1.080000;0.060000;-99;768.000000;3106.000000;mq;265.550000;mq;0;0;9;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;1;mq;1;mq;
07897;20220201071500;1870.000000;40;2.000000;264.750000;mq;mq;49;3;7;9;9;mq;/;/;/;mq;mq;264.650000;mq;269.850000;1.100000;0.100000;-99;768.000000;3110.000000;mq;267.150000;mq;0;mq;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;9;mq;0;120.000000;
07900;20220201071000;2040.000000;0;0.000000;260.250000;257.060000;77;0;7;4;5;4;30;6;0;7;1.000000;mq;260.250000;mq;271.650000;0.740000;0.050000;-99;768.000000;3105.000000;mq;262.950000;mq;0;6;0;mq;mq;mq;mq;2;310;18.000000;mq;mq;mq;2;9;mq;1;150.000000;
07901;20220201070000;1867.000000;0;0.000000;263.650000;263.000000;95;70;7;3;8;8;mq;6;/;/;8.000000;mq;263.650000;mq;269.350000;0.980000;0.150000;-99;768.000000;3115.000000;mq;269.650000;mq;0;mq;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;1;mq;0;60.000000;
07908;20220201063000;1970.000000;310;3.000000;263.650000;262.030000;88;0;3;7;7;7;250;5;7;0;mq;mq;263.650000;mq;274.750000;1.000000;0.030000;-99;768.000000;3103.000000;mq;265.750000;mq;0;6;1;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;4;mq;mq;mq;
07911;20220201071000;1636.000000;360;7.000000;266.250000;mq;mq;0;7;7;6;3;30;2;3;0;8.600000;mq;264.650000;mq;270.050000;1.040000;0.110000;-99;768.000000;3111.000000;mq;268.350000;mq;0;2;1;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07939;20220201071500;1860.000000;90;2.000000;266.350000;258.590000;54;0;0;0;0;0;mq;0;0;0;0.000000;mq;264.850000;mq;280.150000;0.380000;0.000000;-99;768.000000;3100.000000;mq;261.850000;mq;0;0;0;mq;mq;mq;mq;1;360;5.000000;0.480000;0.000000;mq;7;5;mq;mq;mq;
